code,name
PP,PHILIPPINE PASSPORT
YFEV,VACCINATION (YELLOW FEVER)
PSCRB,COP_PROF. IN SURVIVAL CRAFT & RESCUE BOAT
BSC,COP_STCW '95 - BASIC SAFETY COURSE
AFF,COP_ADVANCED TRAINING IN FIREFIGHTING
MEFA,COP_MEDICAL EMERGENCY - FIRST AID
MECA,COP_MEDICAL CARE
NCOC,CERTIFICATE OF COMPETENCY FOR OFFICERS
NCOE,ENDORSEMENT OF CERTIFICATE
NGMDSS,PHILIPPINE GOC
FLGMDSS,PANAMA GMDSS LICENSE
FLGMDSB,PANAMA GMDSS SEAMAN'S BOOK
FL,PANAMA LICENSE
FLSB,PANAMA SEAMAN BOOK
FL,JAPANESE COC LICENSE
FLSB,JAPANESE SEAMAN BOOK
FLSSO,JAPANESE SSO -  CERT. OF COMPLETION(TRAINING)
GOC,JAPANESE GOC
ROC,JAPANESE ROC
3RE,JAPANESE 3RD GRADE RADIO LICENSE
HS,JAPANESE HEALTH SUPERVISOR
SCC,JAPANESE COOK LICENSE
MED,MEDICAL CERTIFICATE (PEME)
ECDIS,ECDIS GENERIC
SATC,COP_SDSD
ISM,ISM/SMS ONLINE ASSESSMENT
ISPS,ISPS ONLINE ASSESSMENT
FLSSO,PANAMA SSO LICENSE
FLSSO,COP_SHIP SECURTY OFFICER
GOCSB,JAPANESE GOC BOOKLET
ECDIS_JRC,ECDIS JRC 7201/9201
ECDIS_FURUNO,ECDIS FURUNO FMD-3100/3200/3300
PP,CHINESE PASSPORT
PP,BULGARIAN PASSPORT
PP,UKRANIAN PASSPORT
CEMP,CONTRACT
SIN_FL,SINGAPORE COE
SIN_GOC,SINGAPORE GOC
FLSSB,PANAMA SSO BOOK
FLGMDSS,HONGKONG GMDSS
FLGMDSS,CAYMAN GMDSS
NGMDSS,CHINESE GMDSS
6340,PHILIPPINE NC2 FOR (CHIEF COOK & 2ND COOK)
6342,PHILIPPINE NC1 FOR (MESSMAN)
6250,PHILIPPINE COP (II-5 / III-5)
2470,JAPANESE COOK TRAINING CERTIFICATE
CTCSC,CHINESE TRAINING CERTIFICATE FOR SHIPS COOK
MIS,MARSHALL ISLAND SEAMAN BOOK
MIL,MARSHALL ISLAND LICENSE
MSB,MALAYSIAN (SID)
ML,MALAYSIAN (COR)
NC3,PHILIPPINE NC3 FOR (CHIEF COOK & 2ND COOK)
6500,MEDICAL CERTIFICATE (POST MEDICAL)
AIS,AUTOMATIC IDENTIFICATION SYSTEMS
FTME,FAMILIARIZATION TRAINING IN MOORING EQUIPMENT (FTME)
ERS,ENGINE ROOM SIMULATOR COURSE (ERS/ERM)
SSBT,SHIP SIMULATOR & BRIGDE TEAMWORK w/ BRM
FFLB,FREE FALL LIFEBOAT FAMILIARIZATION
SPFHFC,SAFE PRACTICES IN HANDLING FUMIGATED CARGO
SMSCRS,ISM/SMS V 3.0 (3 DAYS COURSE)
PNMSDSD,PANAMA ENDORSEMENT - SDSD
AMCV,AUSTRALIAN MARITIME CREW VISA
USVISA,US VISA
ECDIS_JRC_901,ECDIS JRC JAN-701/901/901M/701B/901B/2000
FLSSOC,JAPANESE SSO -  CERT. OF QUALIFICATION
ECDIS_KLHG,ECDIS KELVIN HUGNES - KLHG
TTOS_CORONA,TTOS - CORONA
PP,JAPANESE PASSPORT
6251,PHILIPPINE COP (II-4 / III-4)
ECDIS_FURUNO_FEA,ECDIS FURUNO FEA - 2807/2107
ECDIS_FURUNO_CBT,ECDIS FURUNO CBT- 3100/3200/3300
201,BIODATA
MID,MARSHALL ISLAND GMDSS
SHST,SHIP HANDLING TRAINING FOR CAPTAIN
KLINEEMS,TTOS - KLINE EMS (ENVIRONMENTAL MANAGEMENT SYSTEM)
TTOS_SPC,TTOS SPECIAL OR TTOS MARITIME LEGAL MATTERS
BASICNAV,TTOS - BASIC NAVIGATION
TTOS_PCC,TTOS - PCC
SSO,SHIP SECURITY OFFICER
PNMSSO,PANAMA ENDORSEMENT - SSO
TNKC_BASS,BASSNET
BRM,BRM / BTM
TTOS_NISHI,TTOS NISHI-F LRRS
SRUC,SENIOR RATING UPGRADING COURSE
RDSC,REAL DANGER SENSING COURSE
SEC,SKILL ENHANCEMENT COURSE
SC,STEERING COURSE
HGMC,HEALTH & GALLEY MANAGEMENT COURSE
SCC_IC,SPECIAL CUISINE COURSE (INTERNATIONAL COOKING)
TCD,TEAMWORK IN CULTURAL DIVERSITY
EW,EQ IN THE WORKPLACE
STRESS_MS,STRESS MANAGEMENT SEMINAR
ME_COURSE,ME / ENGINE FAMILARIZATION COURSE
MCA,MALAYSIAN CREW CONTRACT AGREEMENT (SEC)
MAL_PEME,MALAYSIAN MEDICAL CERTIFICATE (PEME)
PNMCC,PANAMA ENDORSEMENT - SHIPS COOK COURSE
MS,MALAYSIAN SEAMANBOOK
MP,MALAYSIAN PASSPORT
LCRA,LIBERIAN CRA
LSB,LIBERIAN SEAMAN BOOK
LPP,LIBERIAN PASSPORT
PNMMED,PANAMA MEDICAL CERTIFICATE
SMSREFC,ISPS CODE
SPASDIG,SPAS -  DIGITRACE
CRANEOP,CRANE OPERATOR
NICKELORE,NICKLE ORE CARGO FAMILIARIZATION
TTOS-CPIT,TTOS - COMPETENCY PROMOTIONAL INHOUSE TRAINING
TTOS-ENAV,TTOS - E-NAVIGATOR
AFFDRUGANDALCO,AFFIDAVIT OF DRUG AND ALCOHOL POLICY
ENMS,ENERGY MANAGEMENT SYSTEM ONLINE COURSE
LNG,HANDLING DANGEROUS AND OTHER SUBSTANCES
MLC,MLC 2006
PT,PAINTING TECHNIQUE
RS,ROPE SLICING
SAF,SAFIR
GDC,GAS DETECTOR CALIBRATION
PSB,PCC SPECIAL BRIEFING
CCD,CREW CONSENT DOCUMENT
SOCCERT,SAFETY OFFICER COURSE CERTIFICATE
VACTYHEP,VACCINATION: TYPHOID FEVER AND HEPA A & B
STCW,CHINESE STCW COE
CCOC,CHINESE COC
CBT_CYBERSEC,CYBER SECURITY CERTIFICATE
VAC_CHICPOX,VARICELLA (CHICKEN POX) VACCINE
PERSAFE,PERSONAL SAFETY
RFPWMER,RATING FORMING PART OF A WATCH IN MANNED ENGINE ROOM
EWCA,ELECTRIC WELDING COURSE
MOS,MOSHI
TS,TRIM AND STABILITY
PHS,PEOPLE HANDLING SKILLS
BWMS,BALLAST WATER MANAGEMENT COURSE
MEMSS,MAIN ENGINE MANUEVERING SYSTEM SIMULATOR (NABCO)
BCCC,BOILER COMBUSTION CONTROL COURSE
FNL,FUEL AND LUBRICANTS
MAM,MARINE AND AUXILLARY MACHINERIES
MARELTEC,MARINE ELECTRO-TECHNOLOGY
IMC,INDUSTRIAL MOTOR CONTROL
OAWC,OXYGEN_ACETYLENE WELDING COURSE
LMOC,LATHE MACHINE OPERATOR COURSE
MDSLE_OTR1,MAIN DIESEL ENGINE OVERHAUL TRAINING 1
MDSLE_OTR2,MAIN DIESEL ENGINE OVERHAUL TRAINING 2
MDSLE_OTR3,MAIN DIESEL ENGINE OVERHAUL TRAINING 3
MR,MARINE REFRIGERATION
MHV,MARINE HIGH VOLTAGE
AWC,ADVANCE WELDING COURSE
SRUCO1,SENIOR RATING UPGRDATING COURSE - OILER #1 (SRUC-E)
BASIC-IGF,COP FOR BASIC IGF (GAS FUEL VESSEL)
IMSBC,IMSBC CODE TRAINING
NAVWATCHS_L1,NAVIGATIONAL WATCH SIMULATOR LEVEL 1
WOODCHIP_FAM,WOODCHIP CARRIER FAMILIARIZATION COURSE
TTOS_ELEVATOR,TTOS - MARINE ELEVATOR SAFETY TRAINING
DGENG,DIESEL GENERATOR ENGINE OVERHAULING TRAINING
PUROV,PURIFIER OVERHAULING MAINTENANCE COURSE
TDTST,TRADE TEST
COVID19,GUIDANCE ON PREVENTION AND CONTROL OF COVID-19 ONBOARD
BRF,PRE DEPARTURE BRIEFING FORM
NHIC,NEW HIRE ASSESSMENT / CHECKLIST
PRMTN,PROMOTION ASSESSMENT / CHECKLIST
IRLPL,incident report & loss prevention lesson
bcb,bulk carrier briefing
pccu,pcc undertaking
ecdis-kta,ecdis knowledge and training assurance
cms,deck machinery course
IGFBT,COP IGF BASIC
eec,electric and electronic course
JCOPIGFAD,JAPAN COP IGF (ADVANCE)
JCOPIGFBA,JAPAN COP IGF (BASIC)
OU,oath of undertaking
IMO2020,Bunkering Procedures and MARPOL VI/IMO 2020
cdb,cayman discharge booklet
cl,cayman license
cgoc,cayman goc
csc,cayman ship's cook
VACHEP,VACCINATION: HEPA A & B
CDPPCC,CARGO DAMAGE PREVENTION FOR PCC
BCG,BULK CARRIER GUIDELINES
LT,LOCKOUT TAGOUT
SMHW,SEAFARER'S MENTAL HEALTH AND WELLBEING
JOTC,JUNIOR OFFICER TRAINING COURSE
UTC,UPGRADING TRAINING COURSE
TSBCTSBGC,TRIM & STABILITY FOR BULK CARRIER TRANSPORTING SOLID BULK AND GRAIN CARGOES
MOSHID,MOSHI - DECK OFFICERS
IGFADV,COP IGF ADVANCE
NSB,PHILIPPINE SEAMAN BOOK
